CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ	id	max_chemdir	max_comparison	sign_chemdir	CLUSTERID1_chemdir	CLUSTERID2_chemdir
42	663	77	0.8442	-0.000	93	0.01986943858124711	Pre-HV:Post-HV	-1.0	42	663
42	768	77	0.8613	-0.000	94	0.02213346617175279	Pre-HV:Post-HV	1.0	768	42
43	595	19	0.8191	28.031	95	0.6738568283646319	Pre-HV:Post-HV	-1.0	43	595
43	64	19	0.8191	28.031	96	0.21394695081780266	Pre-HV:Post-HV	-1.0	43	64
44	192	6	0.8882	0.000	97	0.6466693921394617	Pre-HV:Post-HV	1.0	192	44
44	255	6	0.8937	-56.026	98	0.46318868490438103	Pre-HV:Post-HV	1.0	255	44
44	396	6	0.868	-56.026	99	0.04052782689780487	Pre-HV:Post-HV	1.0	396	44
44	397	6	0.9462	-0.000	100	0.15245425807731794	Pre-HV:Post-HV	1.0	397	44
44	552	6	0.9267	-0.000	101	0.40272261662642805	Pre-HV:Post-HV	1.0	552	44
44	553	6	0.9267	-0.000	102	0.2455060986036626	Pre-HV:Post-HV	1.0	553	44
44	709	6	0.8987	-0.000	103	0.28422527005033577	Pre-HV:Post-HV	1.0	709	44
44	754	6	0.9	0.000	104	0.2677690380072944	Pre-HV:Post-HV	1.0	754	44
44	761	6	0.9045	-0.000	105	0.27467360048162437	Pre-HV:Post-HV	1.0	761	44
45	180	63	0.8259	-17.026	106	0.06311318896295884	Pre-HV:Post-HV	1.0	180	45
45	358	63	0.8566	0.000	107	0.3630854098498626	Pre-HV:Post-HV	1.0	358	45
46	144	1	0.995	2.016	108	0.21455139471524393	Pre-HV:Post-HV	1.0	144	46
46	615	1	0.984	-21.984	109	0.035802973381104046	Pre-HV:Post-HV	-1.0	46	615
46	617	1	0.9826	30.048	110	0.06460580997702216	Pre-HV:Post-HV	-1.0	46	617
46	652	1	0.9111	30.048	111	0.0728623386270231	Pre-HV:Post-HV	-1.0	46	652
46	657	1	0.9172	6.048	112	0.021705108934906497	Pre-HV:Post-HV	1.0	657	46
47	189	2	0.9282	0.000	113	0.5056774758372818	Pre-HV:Post-HV	-1.0	47	189
47	288	2	0.9121	-0.000	114	0.17581968585390728	Pre-HV:Post-HV	-1.0	47	288
47	344	2	0.9216	0.000	115	0.20675967881011592	Pre-HV:Post-HV	-1.0	47	344
47	409	2	0.9135	-0.000	116	0.09068321561340409	Pre-HV:Post-HV	-1.0	47	409
47	411	2	1.0	0.000	117	0.2773421794255228	Pre-HV:Post-HV	-1.0	47	411
47	71	2	0.9121	0.000	118	0.34357251115646226	Pre-HV:Post-HV	1.0	71	47
47	764	2	0.9042	-58.041	119	0.47057987451885097	Pre-HV:Post-HV	-1.0	47	764
47	87	2	0.9147	-58.041	120	0.4794444888585705	Pre-HV:Post-HV	-1.0	47	87
48	403	77	0.9017	-0.000	121	0.2666644452350672	Pre-HV:Post-HV	1.0	403	48
48	54	77	0.8877	-0.000	122	0.3755013224863793	Pre-HV:Post-HV	1.0	54	48
48	561	77	0.8936	-0.000	123	0.43607760937199735	Pre-HV:Post-HV	1.0	561	48
48	663	77	0.8849	-0.000	124	0.602366874369401	Pre-HV:Post-HV	1.0	663	48
48	768	77	0.9369	-0.000	125	0.6443697791224009	Pre-HV:Post-HV	1.0	768	48
52	558	22	0.8612	-0.000	126	0.41720462629356936	Pre-HV:Post-HV	1.0	558	52
53	405	2	0.8795	-0.000	127	0.14304780482684398	Pre-HV:Post-HV	-1.0	53	405
53	557	2	0.8795	0.000	128	0.417561547512255	Pre-HV:Post-HV	-1.0	53	557
53	559	2	0.878	-0.000	129	0.24360773478334843	Pre-HV:Post-HV	-1.0	53	559
54	403	77	0.8771	0.000	130	0.10883687725131211	Pre-HV:Post-HV	-1.0	54	403
54	561	77	0.9264	-0.000	131	0.06057628688561811	Pre-HV:Post-HV	1.0	561	54
54	663	77	0.9219	-0.000	132	0.22686555188302165	Pre-HV:Post-HV	1.0	663	54
54	768	77	0.9149	0.000	133	0.26886845663602166	Pre-HV:Post-HV	1.0	768	54
55	360	4	1.0	-0.000	134	0.3492490934548855	Pre-HV:Post-HV	1.0	360	55
55	546	4	0.9669	1.003	135	0.27877825781236776	Pre-HV:Post-HV	-1.0	55	546
55	57	4	1.0	-0.000	136	0.21974201567023977	Pre-HV:Post-HV	1.0	57	55
57	360	4	1.0	-0.000	137	0.12950707778464574	Pre-HV:Post-HV	1.0	360	57
57	546	4	0.9669	1.003	138	0.4985202734826075	Pre-HV:Post-HV	-1.0	57	546
58	276	27	0.7602	0.000	139	0.08720707656761559	Pre-HV:Post-HV	-1.0	58	276
58	430	27	0.7925	0.000	140	0.016352705833932148	Pre-HV:Post-HV	-1.0	58	430
58	566	27	0.7232	-0.000	141	0.08414699457732171	Pre-HV:Post-HV	1.0	566	58
58	667	27	0.7654	-0.000	142	0.16946991826121424	Pre-HV:Post-HV	1.0	667	58
58	669	27	0.8235	-0.000	143	0.16496410642933984	Pre-HV:Post-HV	1.0	669	58
58	68	27	0.8088	0.000	144	0.19682520108901405	Pre-HV:Post-HV	-1.0	58	68
58	739	27	0.8111	-0.000	145	0.34846618132094587	Pre-HV:Post-HV	1.0	739	58
59	265	22	0.8589	0.000	146	0.5569279470771819	Pre-HV:Post-HV	1.0	265	59
59	407	22	0.8752	-0.000	147	0.07746250107769916	Pre-HV:Post-HV	1.0	407	59
59	408	22	0.8597	0.000	148	0.31590452382888684	Pre-HV:Post-HV	-1.0	59	408
59	556	22	0.887	2.015	149	2.1326338026507936	Pre-HV:Post-HV	-1.0	59	556
59	558	22	0.9054	2.015	150	0.3847636119086219	Pre-HV:Post-HV	1.0	558	59
59	664	22	0.8752	-0.000	151	0.18072293156680175	Pre-HV:Post-HV	-1.0	59	664
60	427	19	0.8598	0.000	152	0.7910859264340607	Pre-HV:Post-HV	-1.0	60	427
60	428	19	0.8506	0.000	153	0.06054540711686343	Pre-HV:Post-HV	-1.0	60	428
60	431	19	0.869	-0.000	154	0.12860420022729904	Pre-HV:Post-HV	-1.0	60	431
60	433	19	0.8604	-15.995	155	0.0030501336475722922	Pre-HV:Post-HV	1.0	433	60
60	565	19	0.8495	-0.000	156	0.031029893764200858	Pre-HV:Post-HV	-1.0	60	565
60	595	19	0.8244	-15.995	157	0.5809660156022237	Pre-HV:Post-HV	-1.0	60	595
60	64	19	0.8244	-15.995	158	0.12105613805539452	Pre-HV:Post-HV	-1.0	60	64
60	69	19	0.8663	-0.000	159	0.06470456649078073	Pre-HV:Post-HV	-1.0	60	69
60	702	19	0.8323	-0.000	160	0.06590564742308715	Pre-HV:Post-HV	1.0	702	60
60	726	19	0.8495	-0.000	161	0.08134338547948533	Pre-HV:Post-HV	-1.0	60	726
60	775	19	0.888	-0.000	162	0.08594851525698181	Pre-HV:Post-HV	-1.0	60	775
62	188	14	0.8577	0.000	163	0.28364271925830975	Pre-HV:Post-HV	-1.0	62	188
62	254	14	0.8822	0.000	164	0.4463920471659896	Pre-HV:Post-HV	-1.0	62	254
62	398	14	0.863	0.000	165	0.31851124283048987	Pre-HV:Post-HV	1.0	398	62
62	399	14	0.9184	0.000	166	0.728658231624955	Pre-HV:Post-HV	1.0	399	62
62	400	14	0.8797	-0.000	167	0.3452232150955324	Pre-HV:Post-HV	1.0	400	62
62	401	14	0.929	-0.000	168	0.12473337855241108	Pre-HV:Post-HV	1.0	401	62
62	679	14	0.8915	-0.000	169	0.38616630895506354	Pre-HV:Post-HV	-1.0	62	679
62	699	14	0.9184	0.000	170	0.2187881210354723	Pre-HV:Post-HV	1.0	699	62
62	777	14	0.9075	0.000	171	0.2945865491586611	Pre-HV:Post-HV	1.0	777	62
63	183	56	0.6576	21.006	172	0.4508058988956883	Pre-HV:Post-HV	-1.0	63	183
64	432	19	0.8342	-0.000	173	0.3241484985394602	Pre-HV:Post-HV	1.0	432	64
64	433	19	0.8045	-0.000	174	0.12410627170296666	Pre-HV:Post-HV	1.0	433	64
64	595	19	1.0	0.000	175	0.45990987754682927	Pre-HV:Post-HV	-1.0	64	595
64	773	19	0.8385	-0.000	176	0.28759659654327585	Pre-HV:Post-HV	-1.0	64	773
64	83	19	0.8414	0.000	177	0.2232196840959927	Pre-HV:Post-HV	1.0	83	64
66	134	57	0.8564	0.000	178	0.5173282338144563	Pre-HV:Post-HV	-1.0	66	134
66	251	57	0.9171	0.000	179	0.051676232015846625	Pre-HV:Post-HV	1.0	251	66
67	101	17	0.8455	-58.042	180	0.0958987713493097	Pre-HV:Post-HV	-1.0	67	101
67	434	17	0.8519	-0.000	181	0.04653292017702248	Pre-HV:Post-HV	1.0	434	67
67	435	17	0.9222	-0.000	182	0.18205627440107103	Pre-HV:Post-HV	-1.0	67	435
67	436	17	0.8293	-0.000	183	0.15944250871507148	Pre-HV:Post-HV	1.0	436	67
67	437	17	0.8993	-0.000	184	0.18866900710845402	Pre-HV:Post-HV	1.0	437	67
67	448	17	0.8542	-58.042	185	0.09190278226405556	Pre-HV:Post-HV	1.0	448	67
