	s2_BE6_01_51119.mzXML Peak area	s97_BG2_01_51481.mzXML Peak area	s98_BG3_01_51483.mzXML Peak area	s46_BE11_01_51127.mzXML Peak area	s45_BA7_01_51160.mzXML Peak area	s50_BG5_01_51487.mzXML Peak area	s51_BD5_01_51093.mzXML Peak area	s59_BE8_01_51271.mzXML Peak area	s58_BD10_01_51248.mzXML Peak area	s66_BC11_01_51220.mzXML Peak area	s71_BC3_01_51063.mzXML Peak area	s70_BC2_01_51061.mzXML Peak area	s75_BE11_01_51277.mzXML Peak area	s76_BA12_01_51031.mzXML Peak area	s80_BC12_01_51222.mzXML Peak area	s81_BB3_01_51177.mzXML Peak area	s85_BB10_01_51052.mzXML Peak area	s5_BC6_01_51069.mzXML Peak area	s6_BD3_01_51232.mzXML Peak area	s100_rerun_BA6_01_51158.mzXML Peak area	s101_BA9_01_51025.mzXML Peak area	s88_BD7_01_51242.mzXML Peak area	s89_BD11_01_51250.mzXML Peak area	s93_BE3_01_51259.mzXML Peak area	s10_BE10_01_51275.mzXML Peak area	s11_BA10_01_51166.mzXML Peak area	s15_BA3_01_51149.mzXML Peak area	s16_BD2_01_51227.mzXML Peak area	s110_rerun_BB12_01_51140.mzXML Peak area	s111_BC11_01_51081.mzXML Peak area	s20_BD8_01_51244.mzXML Peak area	s21_BA9_01_51164.mzXML Peak area	s26_BC9_01_51076.mzXML Peak area	s25_BE7_01_51121.mzXML Peak area	s30_BB2_01_51174.mzXML Peak area	s31_BC2_01_51201.mzXML Peak area	s35_BA7_01_51021.mzXML Peak area	s36_BD4_01_51234.mzXML Peak area	s41_BD7_01_51097.mzXML Peak area	s40_BE8_01_51123.mzXML Peak area
s71_BC3_01_51063.mzXML Peak area	0.8024600641411687	3.5832269035637947	3.094694850471369	1.292029303540501	1.4382509152880785	1.4904252818723116	1.1637003038680598	0.34795177797220356	1.6145566010595325	0.5353705152923491	0.0	1.863104961180497	1.0805413359367928	1.3844579044235328	0.893538762813429	1.9090722039891568	1.1301608813655373	0.7617481706294781	0.9920519915941634	2.006753445250352	1.373727355241871	1.4539965562847375	1.2676713446856622	0.34364506432416364	0.6913033571582966	1.1503534559508217	1.5616895887800557	2.1250335455691594	1.0932878842689708	1.9682927335411249	0.4412273929066131	1.0803695045630461	0.6413693237785177	1.1361880007336693	1.474038583264453	2.206503490014491	1.213612511637802	0.9685382398499093	1.0231152714660252	1.1053517319271915
s70_BC2_01_51061.mzXML Peak area	2.429909336417191	4.18925883997603	4.368864752663702	2.723873793541622	2.7457633832585695	0.4844332619820362	2.2481662307962864	1.5391426120205196	2.7910547877225977	1.7373680699352079	1.863104961180497	0.0	2.7250272951413863	0.9468955031538909	1.9488245177721142	0.5802556241400525	2.7284408718762707	2.004993128721311	1.2382424266277325	3.8479875531101753	3.2061902008708416	0.5838413992806265	2.186895386792435	1.8883624816898044	2.212907380986963	2.2738016514546864	1.0170366289562904	0.271105869262534	2.9348937472670875	3.4312578650151213	1.513978907815698	2.48106686888145	2.439626907928743	2.5099817514770693	1.2726701069880801	0.48498809726729536	2.603513679787019	2.380055896349077	1.476700349464365	2.150803463450215
s75_BE11_01_51277.mzXML Peak area	0.3011655627049753	4.318814139458829	3.4656672691458663	0.38357682755901057	0.5978592463199743	2.451192220494469	0.7976704241375846	1.280377065614081	0.8413453296110364	0.990723991115443	1.0805413359367928	2.7250272951413863	0.0	1.9776657347788265	0.9004741990462	2.899987825813209	0.14202634498317446	0.7935532098031339	1.5436826223916822	1.340433696236295	0.8762586669827264	2.196062892694691	0.9658596352713072	0.8713101244289081	0.5122700810154991	0.7435094464315731	2.621377327839396	2.994267844252636	0.6241492390252004	2.3622824556376396	1.2561871371225108	0.4062145485620464	0.5029803606010901	0.4364839771128206	1.8431696210959747	3.1412072733879266	0.41945983547394017	0.4387723965168822	1.3799630652052877	0.8542336545966634
s76_BA12_01_51031.mzXML Peak area	1.7046158104266003	4.353524616517912	4.211617361681804	1.9090949297813815	1.913986975396374	0.9815970363475193	1.4384842761459837	1.0828157867996282	1.965280826106923	1.0680825931812739	1.3844579044235328	0.9468955031538909	1.9776657347788265	0.0	1.1989206331786368	1.3434172550129906	1.9491997180665677	1.3017967584117704	0.5390736553154429	3.1839521636211865	2.5623305974334967	0.4590661734786582	1.3552203911567244	1.2600523786900595	1.4852585270141108	1.4312833187813712	1.4725392051281534	1.1893894990832568	2.3015446611805865	3.200448740295187	0.9451556145461952	1.6791671935737027	1.8012182834710173	1.7002980955591518	0.5312327908605661	1.410438749176283	1.793885834442012	1.6077678883280546	0.7141016455098497	1.365358366213218
s80_BC12_01_51222.mzXML Peak area	0.6794586973103314	4.466207297760216	3.9148683041593153	0.8088112449896487	0.8188815062773702	1.7644148984356363	0.3453041592149782	0.8078566869362185	0.887493652854093	0.39952413060295233	0.893538762813429	1.9488245177721142	0.9004741990462	1.1989206331786368	0.0	2.2373789115902647	0.9056744858416089	0.18438728274520058	0.7185214093518018	2.2201938973573694	1.6742585449092315	1.3832471584457566	0.4013271222001734	0.5691968648211606	0.48008755549487436	0.41428500437411636	2.100631360950062	2.209175357760046	1.368910640363288	2.7811173278003682	0.7568647051313815	0.5819636305263991	0.9062645686514291	0.5996101062340946	0.9695615634103071	2.4013661858107107	0.6814575659643931	0.4775355702915573	0.511674666495335	0.24658761096966095
s81_BB3_01_51177.mzXML Peak area	2.598834530217951	3.689501063527602	4.01723012826693	2.9702791707434613	3.0310742165612963	0.48406978857359406	2.5613913933875514	1.640787155956528	3.1160416671691955	1.9444235067456006	1.9090722039891568	0.5802556241400525	2.899987825813209	1.3434172550129906	2.2373789115902647	0.0	2.913758059477013	2.252414146313226	1.57243367047233	3.880602058859614	3.2361738576188372	1.0283410073353023	2.532823302003077	2.030999589395659	2.402454217142087	2.5734062979358483	0.5811180631263048	0.6048809882010545	2.990839960090934	3.1676482569664413	1.6458825071161922	2.724192650969632	2.533868878890661	2.7628318260203115	1.7421250675086437	0.4183002262778991	2.8580458907967974	2.6170478709356164	1.8274454495892833	2.4655976913220536
s85_BB10_01_51052.mzXML Peak area	0.3414071191784317	4.35889994285933	3.50952986946477	0.32625227601169327	0.5474532242170292	2.469045130858682	0.7753729019926052	1.3171652696043585	0.808215349537092	1.0079344562723886	1.1301608813655373	2.7284408718762707	0.14202634498317446	1.9491997180665677	0.9056744858416089	2.913758059477013	0.0	0.8216748081219388	1.540132726951214	1.373041339271545	0.9146323073704954	2.1945390787116796	0.9319050125766748	0.9012265658945113	0.5308444227179241	0.6943535310971009	2.6491155253240644	2.9982833419224226	0.6976557070387122	2.4233686893996156	1.2686247435295366	0.3682932223989938	0.5726273037497228	0.3935498694128404	1.8200632296501642	3.150161252639065	0.377872596824133	0.4397615892615061	1.3709923388020038	0.8460668354233826
s5_BC6_01_51069.mzXML Peak area	0.5543280819159913	4.340861214544241	3.7628383362680444	0.7760721042804323	0.8269141765383806	1.778811406679197	0.4358292675404377	0.729116143872321	0.9276298453778901	0.34523390267211634	0.7617481706294781	2.004993128721311	0.7935532098031339	1.3017967584117704	0.18438728274520058	2.252414146313226	0.8216748081219388	0.0	0.8026162744321046	2.08580043638881	1.5330836258361764	1.4572514696963181	0.5440207096879776	0.4491559129903262	0.357842431458381	0.49373423853621295	2.069959728672005	2.26789303568554	1.2170584163328677	2.6200069641815866	0.7132415398438127	0.545634445748706	0.74984545967426	0.5763723748048405	1.1157066391233512	2.4419292754507147	0.6556177412087874	0.4140990562714188	0.635053164063626	0.3565541441007095
s6_BD3_01_51232.mzXML Peak area	1.2676563322342063	4.302406445249437	4.01460574995221	1.4953653008385601	1.5079830816920272	1.1121229818493126	1.0115832209643028	0.6870012924084642	1.5601064937792921	0.5961428498275056	0.9920519915941634	1.2382424266277325	1.5436826223916822	0.5390736553154429	0.7185214093518018	1.57243367047233	1.540132726951214	0.8026162744321046	0.0	2.7873042728030373	2.1782752318737284	0.6688628465920602	0.9639636835363856	0.8233769430657458	1.0411599723122795	1.0399925714722276	1.5505610850472722	1.498817915611017	1.8852013623427426	2.9298418392028194	0.5963460358726718	1.2569135092964356	1.3744920176403845	1.2809862114528838	0.49427231461926513	1.7007758227797898	1.372461401900273	1.1606990785629316	0.25555355703759314	0.917078442045658
s100_rerun_BA6_01_51158.mzXML Peak area	1.5479112310098795	4.086407646338897	2.819715292104871	1.621809360859206	1.804486999403092	3.4888158898898465	2.134830216977854	2.3293869284321587	2.020588724098175	2.1991355439028126	2.006753445250352	3.8479875531101753	1.340433696236295	3.1839521636211865	2.2201938973573694	3.880602058859614	1.373041339271545	2.08580043638881	2.7873042728030373	0.0	0.6484002509690876	3.387646865064546	2.2989533938036613	1.9908002478729885	1.7685928391840962	2.06721730343667	3.464770846449265	4.115020277806412	0.9246822062148832	1.953571501651782	2.339349982354077	1.7347304716593668	1.4293638495606171	1.7562530001817196	3.1456871243715434	4.198812170897597	1.715329517931945	1.7779779220022303	2.6695678307145516	2.1941798479532246
