mtb_id	pval	padj	comparison
182	0.401678166469773	0.994045273247147	pre_vs_post
183	0.185016310523015	0.86556300410518	pre_vs_post
184	0.181465148925781	0.86556300410518	pre_vs_post
185	0.346549987792969	0.950217708464592	pre_vs_post
186	0.181465148925781	0.86556300410518	pre_vs_post
187	0.369216918945313	0.968423486254408	pre_vs_post
188	0.83172607421875	1	pre_vs_post
189	0.733726501464844	1	pre_vs_post
190	0.289131058506326	0.922234398978097	pre_vs_post
191	0.812896878972329	1	pre_vs_post
192	0.579841613769531	1	pre_vs_post
193	0.887068694211825	1	pre_vs_post
194	0.576103543277185	1	pre_vs_post
197	1	1	pre_vs_post
198	0.0814285278320313	0.692142486572266	pre_vs_post
200	0.766029357910156	1	pre_vs_post
201	0.141517639160156	0.86556300410518	pre_vs_post
204	0.196388244628906	0.86556300410518	pre_vs_post
206	0.579841613769531	1	pre_vs_post
207	0.898574829101563	1	pre_vs_post
208	0.966117858886719	1	pre_vs_post
209	0.522613525390625	1	pre_vs_post
210	1	1	pre_vs_post
211	0.0987396240234375	0.734375953674317	pre_vs_post
213	0.766029357910156	1	pre_vs_post
214	0.324729919433594	0.942508790551162	pre_vs_post
215	0.83172607421875	1	pre_vs_post
216	0.550872802734375	1	pre_vs_post
217	0.966117858886719	1	pre_vs_post
218	0.740367478785491	1	pre_vs_post
219	0.234811289315166	0.882493214434888	pre_vs_post
220	0.507501253286605	1	pre_vs_post
222	0.477659735127587	1	pre_vs_post
224	0.030364990234375	0.440662663157393	pre_vs_post
225	1	1	pre_vs_post
229	0.898574829101563	1	pre_vs_post
230	0.0987396240234375	0.734375953674317	pre_vs_post
231	0.766029357910156	1	pre_vs_post
234	0.495079040527344	1	pre_vs_post
235	0.670524597167969	1	pre_vs_post
237	0.701881408691406	1	pre_vs_post
239	0.167350769042969	0.86556300410518	pre_vs_post
240	0.495079040527344	1	pre_vs_post
243	0.733726501464844	1	pre_vs_post
245	0.569996072896326	1	pre_vs_post
246	0.142245169384134	0.86556300410518	pre_vs_post
247	0.924572011837841	1	pre_vs_post
248	0.569996072896326	1	pre_vs_post
250	0.799846105662473	1	pre_vs_post
251	0.898574829101563	1	pre_vs_post
254	0.550872802734375	1	pre_vs_post
255	0.538293635901243	1	pre_vs_post
256	0.303794860839844	0.922234398978097	pre_vs_post
257	0.303794860839844	0.922234398978097	pre_vs_post
265	0.04827880859375	0.522288929332386	pre_vs_post
266	0.7987060546875	1	pre_vs_post
267	0.196388244628906	0.86556300410518	pre_vs_post
268	0.303794860839844	0.922234398978097	pre_vs_post
269	0.799846105662473	1	pre_vs_post
273	0.766029357910156	1	pre_vs_post
274	0.0431671142578125	0.513688659667969	pre_vs_post
275	0.29338289215179	0.922234398978097	pre_vs_post
276	0.154045104980469	0.86556300410518	pre_vs_post
278	0.7987060546875	1	pre_vs_post
279	0.118705749511719	0.811838171947962	pre_vs_post
280	0.346549987792969	0.950217708464592	pre_vs_post
281	0.181465148925781	0.86556300410518	pre_vs_post
282	0.550872802734375	1	pre_vs_post
283	0.118705749511719	0.811838171947962	pre_vs_post
284	0.849816607389808	1	pre_vs_post
285	0.442298889160156	1	pre_vs_post
287	0.00896453857421875	0.242450020530007	pre_vs_post
288	0.212142944335938	0.870517599171606	pre_vs_post
291	0.0814285278320313	0.692142486572266	pre_vs_post
292	0.297672151508384	0.922234398978097	pre_vs_post
293	0.266250586794457	0.917495022649351	pre_vs_post
295	0.623261445221332	1	pre_vs_post
296	0.609458923339844	1	pre_vs_post
297	0.766029357910156	1	pre_vs_post
298	1	1	pre_vs_post
299	0.168166829372509	0.86556300410518	pre_vs_post
300	0.838463781922464	1	pre_vs_post
301	0.58716968573231	1	pre_vs_post
303	0.842429645612509	1	pre_vs_post
304	0.701881408691406	1	pre_vs_post
306	0.392738342285156	0.98957388458438	pre_vs_post
307	0.924572011837841	1	pre_vs_post
308	0.550872802734375	1	pre_vs_post
312	0.898574829101563	1	pre_vs_post
313	0.932281494140625	1	pre_vs_post
314	0.83172607421875	1	pre_vs_post
315	0.966117858886719	1	pre_vs_post
316	0.701881408691406	1	pre_vs_post
317	0.550872802734375	1	pre_vs_post
318	0.609458923339844	1	pre_vs_post
320	0.639694213867188	1	pre_vs_post
321	0.212142944335938	0.870517599171606	pre_vs_post
324	0.670076541385612	1	pre_vs_post
325	0.783652311534409	1	pre_vs_post
331	0.218401125676539	0.878113039078251	pre_vs_post
332	0.639694213867188	1	pre_vs_post
333	0.698152376218751	1	pre_vs_post
334	0.0028076171875	0.11932373046875	pre_vs_post
335	0.0008392333984375	0.0663351649187724	pre_vs_post
336	0.00336456298828125	0.133460998535156	pre_vs_post
337	0.224306571197272	0.878113039078251	pre_vs_post
338	1	1	pre_vs_post
339	0.369216918945313	0.968423486254408	pre_vs_post
340	0.701881408691406	1	pre_vs_post
341	0.609458923339844	1	pre_vs_post
342	0.966117858886719	1	pre_vs_post
344	0.670524597167969	1	pre_vs_post
345	0.579841613769531	1	pre_vs_post
346	0.842429645612509	1	pre_vs_post
347	0.167350769042969	0.86556300410518	pre_vs_post
350	0.141517639160156	0.86556300410518	pre_vs_post
352	0.0203643000443132	0.375100590043911	pre_vs_post
354	0.704907047930654	1	pre_vs_post
356	0.722282962716192	1	pre_vs_post
357	0.569996072896326	1	pre_vs_post
358	0.196388244628906	0.86556300410518	pre_vs_post
360	0.740367478785491	1	pre_vs_post
361	0.635941334000006	1	pre_vs_post
362	0.704907047930654	1	pre_vs_post
364	0.865043640136719	1	pre_vs_post
366	0.932281494140625	1	pre_vs_post
367	0.949944493522	1	pre_vs_post
368	0.900085797418725	1	pre_vs_post
371	0.670524597167969	1	pre_vs_post
372	0.733726501464844	1	pre_vs_post
375	0.167350769042969	0.86556300410518	pre_vs_post
376	0.865043640136719	1	pre_vs_post
377	0.164071891814218	0.86556300410518	pre_vs_post
378	0.842429645612509	1	pre_vs_post
379	0.670524597167969	1	pre_vs_post
380	0.932281494140625	1	pre_vs_post
381	0.733726501464844	1	pre_vs_post
382	0.0157854879847244	0.335441619675394	pre_vs_post
383	0.579841613769531	1	pre_vs_post
384	0.196388244628906	0.86556300410518	pre_vs_post
386	0.530158014945287	1	pre_vs_post
387	0.0736846923828125	0.654364059220499	pre_vs_post
388	0.83172607421875	1	pre_vs_post
389	1	1	pre_vs_post
392	0.0120315551757813	0.275337512676532	pre_vs_post
395	0.504903176723131	1	pre_vs_post
396	1	1	pre_vs_post
397	0.228752136230469	0.878113039078251	pre_vs_post
398	0.670128703919811	1	pre_vs_post
399	0.507501253286605	1	pre_vs_post
400	0.369216918945313	0.968423486254408	pre_vs_post
401	0.246208190917969	0.882493214434888	pre_vs_post
402	0.346549987792969	0.950217708464592	pre_vs_post
403	0.924572011837841	1	pre_vs_post
404	0.324729919433594	0.942508790551162	pre_vs_post
405	0.962243757251052	1	pre_vs_post
406	0.379471360411207	0.985962704998551	pre_vs_post
407	0.228752136230469	0.878113039078251	pre_vs_post
408	0.635941334000006	1	pre_vs_post
409	0.118705749511719	0.811838171947962	pre_vs_post
410	0.865043640136719	1	pre_vs_post
411	0.320174066831492	0.942508790551162	pre_vs_post
413	0.932281494140625	1	pre_vs_post
419	0.0897674560546875	0.731666251404645	pre_vs_post
420	0.477659735127587	1	pre_vs_post
421	0.932281494140625	1	pre_vs_post
422	0.141517639160156	0.86556300410518	pre_vs_post
423	0.639694213867188	1	pre_vs_post
424	0.246208190917969	0.882493214434888	pre_vs_post
427	0.244648067126581	0.882493214434888	pre_vs_post
428	0.212142944335938	0.870517599171606	pre_vs_post
429	0.733726501464844	1	pre_vs_post
430	1	1	pre_vs_post
431	0.0736846923828125	0.654364059220499	pre_vs_post
432	0.704907047930654	1	pre_vs_post
433	0.030364990234375	0.440662663157393	pre_vs_post
434	0.932281494140625	1	pre_vs_post
435	0.898574829101563	1	pre_vs_post
436	0.442298889160156	1	pre_vs_post
437	0.118705749511719	0.811838171947962	pre_vs_post
438	0.196388244628906	0.86556300410518	pre_vs_post
439	0.670524597167969	1	pre_vs_post
440	1	1	pre_vs_post
441	0.030364990234375	0.440662663157393	pre_vs_post
442	0.468292236328125	1	pre_vs_post
443	0.283729553222656	0.917495022649351	pre_vs_post
444	0.83172607421875	1	pre_vs_post
445	1	1	pre_vs_post
446	0.639694213867188	1	pre_vs_post
447	0.522613525390625	1	pre_vs_post
448	0.865043640136719	1	pre_vs_post
452	0.228752136230469	0.878113039078251	pre_vs_post
454	0.698152376218751	1	pre_vs_post
456	0.030364990234375	0.440662663157393	pre_vs_post
457	0.7987060546875	1	pre_vs_post
