CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ	id	max_chemdir	max_comparison	sign_chemdir	CLUSTERID1_chemdir	CLUSTERID2_chemdir
70	684	17	0.8265	-58.042	211	0.12680144892259343	Pre-P:Post-P	-1.0	70	684
70	75	17	0.8836	0.000	212	0.0711519944892614	Pre-P:Post-P	-1.0	70	75
71	189	2	0.9356	0.000	213	0.3023214751102091	Pre-P:Post-P	-1.0	71	189
71	288	2	1.0	-0.000	214	0.2888072273212841	Pre-P:Post-P	-1.0	71	288
71	344	2	0.9464	0.000	215	0.1169649298799357	Pre-P:Post-P	-1.0	71	344
71	409	2	0.9524	-0.000	216	0.16501333805615448	Pre-P:Post-P	-1.0	71	409
71	410	2	0.9157	-0.000	217	0.19417884158109486	Pre-P:Post-P	-1.0	71	410
71	411	2	0.9121	0.000	218	0.6420286920431794	Pre-P:Post-P	-1.0	71	411
71	420	2	0.9117	-58.042	219	0.23120527906184096	Pre-P:Post-P	-1.0	71	420
71	682	2	0.9117	-58.042	220	0.22381738358043382	Pre-P:Post-P	-1.0	71	682
71	74	2	0.9209	-58.041	221	0.2630190572400248	Pre-P:Post-P	-1.0	71	74
71	772	2	0.9117	-58.042	222	0.029053663759958367	Pre-P:Post-P	1.0	772	71
72	335	5	0.6859	-259.944	223	0.6429934430608796	Pre-P:Post-P	1.0	335	72
72	514	5	0.7272	-390.445	224	0.8439765894461169	Pre-P:Post-P	1.0	514	72
72	77	5	0.9253	0.000	225	0.2171610529545409	Pre-P:Post-P	1.0	77	72
74	189	2	0.9211	58.041	226	0.03930241787018419	Pre-P:Post-P	-1.0	74	189
74	288	2	0.9209	58.041	227	0.025788170081259186	Pre-P:Post-P	-1.0	74	288
74	344	2	0.9228	58.041	228	0.1460541273600892	Pre-P:Post-P	1.0	344	74
74	409	2	0.9208	58.041	229	0.09800571918387044	Pre-P:Post-P	1.0	409	74
74	420	2	0.9068	-0.000	230	0.031813778178184	Pre-P:Post-P	1.0	420	74
74	463	2	0.9077	-56.027	231	0.076221814438581	Pre-P:Post-P	1.0	463	74
74	682	2	0.9068	-0.000	232	0.039201673659591096	Pre-P:Post-P	1.0	682	74
74	763	2	0.9204	58.041	233	0.04527546938675168	Pre-P:Post-P	-1.0	74	763
74	772	2	0.9068	-0.000	234	0.2920727209999833	Pre-P:Post-P	1.0	772	74
75	434	17	0.8747	-0.000	235	0.07412395942421598	Pre-P:Post-P	1.0	434	75
75	435	17	0.9043	-0.000	236	0.007643648270812328	Pre-P:Post-P	-1.0	75	435
75	436	17	0.8463	-0.000	237	0.240044621197986	Pre-P:Post-P	-1.0	75	436
75	437	17	0.883	-0.000	238	0.020429596118831158	Pre-P:Post-P	-1.0	75	437
75	448	17	0.8258	-58.042	239	0.0007002733438264073	Pre-P:Post-P	-1.0	75	448
75	569	17	0.8361	-0.000	240	0.019926883256142544	Pre-P:Post-P	-1.0	75	569
77	335	5	0.6525	-259.944	241	0.42583239010633867	Pre-P:Post-P	1.0	335	77
77	514	5	0.7154	-390.445	242	0.626815536491576	Pre-P:Post-P	1.0	514	77
77	649	5	0.6535	14.437	243	1.2632539000060343	Pre-P:Post-P	1.0	649	77
78	421	19	0.7925	-0.000	244	0.07345853727531074	Pre-P:Post-P	1.0	421	78
78	423	19	0.853	0.000	245	0.12822410813381768	Pre-P:Post-P	1.0	423	78
78	424	19	0.853	-0.000	246	0.1466082561483249	Pre-P:Post-P	1.0	424	78
78	665	19	0.8661	-0.000	247	0.0717502077510029	Pre-P:Post-P	-1.0	78	665
78	666	19	0.8661	-0.000	248	0.1023514916669595	Pre-P:Post-P	1.0	666	78
78	701	19	0.8065	-0.000	249	0.13688212095086358	Pre-P:Post-P	1.0	701	78
79	572	2	0.9107	-0.000	250	0.30096346629913734	Pre-P:Post-P	1.0	572	79
79	573	2	0.8817	-0.000	251	0.008996408836120939	Pre-P:Post-P	1.0	573	79
80	111	68	0.7338	-64.043	252	0.00996492735903163	Pre-P:Post-P	1.0	111	80
81	243	38	0.9581	28.978	253	0.2967639652577397	Pre-P:Post-P	1.0	243	81
83	427	19	0.8077	15.995	254	0.06004141141946945	Pre-P:Post-P	1.0	427	83
83	429	19	0.8041	-0.000	255	0.09212422119979881	Pre-P:Post-P	1.0	429	83
83	432	19	0.8704	-0.000	256	0.18018211380079438	Pre-P:Post-P	1.0	432	83
83	433	19	0.8248	-0.000	257	0.0665244126406938	Pre-P:Post-P	1.0	433	83
83	595	19	0.8414	0.000	258	0.18611393661245065	Pre-P:Post-P	1.0	595	83
83	773	19	0.8576	-0.000	259	0.16869853740434113	Pre-P:Post-P	1.0	773	83
86	443	17	0.8229	-0.000	260	0.022558944188366348	Pre-P:Post-P	1.0	443	86
87	198	2	0.9024	-0.000	261	0.20648592186295986	Pre-P:Post-P	-1.0	87	198
87	267	2	0.8964	-0.000	262	0.34036261126722356	Pre-P:Post-P	-1.0	87	267
87	404	2	0.8898	74.036	263	0.15685694045870108	Pre-P:Post-P	-1.0	87	404
87	411	2	0.9147	58.041	264	0.6353552090346632	Pre-P:Post-P	-1.0	87	411
87	422	2	0.9191	-0.000	265	0.29350954823076897	Pre-P:Post-P	-1.0	87	422
87	560	2	0.8898	74.036	266	0.344482547663188	Pre-P:Post-P	-1.0	87	560
87	764	2	0.891	-0.000	267	0.2147331043077196	Pre-P:Post-P	-1.0	87	764
92	201	115	1.0	0.000	268	0.18916846586102612	Pre-P:Post-P	-1.0	92	201
93	267	2	0.8784	15.995	269	0.007456925072569723	Pre-P:Post-P	-1.0	93	267
93	446	2	0.8898	-0.001	270	0.1908286661403979	Pre-P:Post-P	1.0	446	93
