row ID	s3_repeat_BB7_01_51502.mzXML Peak area	s48_BD12_01_51107.mzXML Peak area	s47_repeat_BB5_01_51298.mzXML Peak area	s53_repeat_BB10_01_51504.mzXML Peak area	s52_BC9_01_51216.mzXML Peak area	s60_BE12_01_51130.mzXML Peak area	s61_repeat_BC10_01_51509.mzXML Peak area	s68_BA11_01_51029.mzXML Peak area	s67b_BB6_01_51043.mzXML Peak area	s73_BD8_01_51099.mzXML Peak area	s72_BD4_01_51091.mzXML Peak area	s77_BB8_01_51188.mzXML Peak area	s78_rerun_BC12_01_51132.mzXML Peak area	s83_BD3_01_51089.mzXML Peak area	s82_BD10_01_51103.mzXML Peak area	s86_BB11_01_51054.mzXML Peak area	s7_BB6_01_51183.mzXML Peak area	s8_repeat_BD6_01_51285.mzXML Peak area	s103_rerun_BC8_01_51134.mzXML Peak area	s102_BB8_01_51048.mzXML Peak area	s91_BA11_01_51168.mzXML Peak area	s90_BA10_01_51027.mzXML Peak area	s95_repeat_RA3_01_51493.mzXML Peak area	s94_BA4_01_51015.mzXML Peak area	s12_BC6_01_51209.mzXML Peak area	s13_repeat_BE4_01_51280.mzXML Peak area	s18_BG7_01_51491.mzXML Peak area	s17_BA6_01_51019.mzXML Peak area	s113_rerun_BA4_01_51154.mzXML Peak area	s112_repeat_BB9_01_51300.mzXML Peak area	s23_repeat_BD5_01_51511.mzXML Peak area	s22_BC4_01_51065.mzXML Peak area	s27_BE5_01_51263.mzXML Peak area	s28_BE4_01_51115.mzXML Peak area	s32_BB9_01_51050.mzXML Peak area	s33_repeat_BE7_01_51515.mzXML Peak area	s38_BE5_01_51117.mzXML Peak area	s37_BA5_01_51017.mzXML Peak area	s43_BE10_01_51125.mzXML Peak area	s42_BB3_01_51037.mzXML Peak area
180	1109010.226	278917.6855	70580.026	271011.981	0	183665.326	247393.4615	285383.534	141418.604	406711.4625	153264.3715	142454.777	197929.184	339987.057	123210.2265	218755.3045	139542.856	175636.291	118599.624	62986.8640000001	362538.707	219157.321	4084400.505	118680.0015	47753.328	57328.3865	1120583.9335	222257.248	174426.852	216496.938	481999.709	43443.189	392213.7155	357486.3765	96113.2	296742.1645	257500.3595	222918.2445	305190.1495	268392.4715
181	678658.174000007	24650.3865	46006.4464999999	21351.0829999998	5000.93199999996	5348.63950000005	69395.3670000003	17481.6055000001	18936.384	150746.325500001	84134.844	5490.17799999997	29091.8715	160513.678	26936.2955000003	262564.768500002	47005.4284999996	262024.688999999	118209.523	46439.1634999996	101907.805500001	11057.1104999999	304088.461999998	7466.12349999985	64007.0460000004	155046.403000001	405644.592999998	39092.4320000001	142482.349000001	38980.9964999999	474490.892499998	76275.2844999996	51264.3594999994	37575.8825000002	11665.4685	30470.4849999998	29748.1024999995	47710.0170000002	31126.2075000002	10888.6705000001
182	479442.8735	0	18529.4475000001	46655.6799999997	0	0	18645.4920000001	0	0	0	25438.0399999999	121433.622000001	135048.6345	0	0	26974.3919999999	0	15848.055	49320.4885000003	42016.3575	0	0	402646.051	0	0	68441.6325000001	619858.901	0	55391.2920000002	105782.7045	473197.390000001	87857.4625000002	304128.840500001	221742.877	0	0	294621.761	315342.547000001	0	0
183	3769.99000000001	11434.64	135276.592	34200.6134999999	23888.253	96131.0555	6963.21799999999	502.405499999999	50740.4094999999	2220.0525	105320.585	102760.5015	4638.79949999999	2407.064	67664.0439999999	41079.1799999999	45023.392	5681.01350000003	3043.56	43972.6820000001	6742.19100000002	37365.8795	314227.201500001	19858.061	124174.3725	522.840999999996	0	29337.2765000001	1088.945	509887.095500001	11500.5285	60327.565	217819.336	979.054499999996	64241.2960000002	5946.28299999999	20097.7985	18235.5985	2953.19199999999	98554.5845000003
184	305517.204500001	181280.816	148278.3235	362809.631499999	86514.4535000001	129594.8115	233777.944999999	118524.3435	133738.58	156433.6615	133544.805	116477.1885	152986.8715	118577.761	149099.563	94706.2305000001	113580.993	117159.9555	118733.7095	103443.6485	144220.0055	123202.802	3620399.1275	147369.312	70856.7350000001	149324.355	307035.918499999	143771.2755	168594.684	242570.0835	248094.082	62475.7960000001	202940.3325	161730.531499999	114221.7375	206267.2255	161307.3625	173344.4095	121910.2265	136886.1445
185	1470636.2735	1606785.0145	0	719063.343499998	0	6647.13600000004	58156.7010000002	787833.088	443257.181999999	28517.9840000004	0	32258.6955	1580.67000000002	5901.38399999993	1012034.49999999	845505.763500002	1865302.4725	22799.9869999999	147777.508	82532.4959999998	1265227.80049999	371489.938500002	2072557.2135	978161.241999996	0	54260.468	9324.34799999995	1407359.8845	4453.61499999995	836941.958000001	13793.2675	172135.7915	603888.479500002	1342595.9155	435092.033499998	2858003.1285	359028.411	41498.6109999997	374197.789000001	8168.49299999995
186	0	485000.894499998	429118.592499998	454129.118999998	185372.535	192559.278499998	484501.497	590838.996	434193.846999997	200736.831999999	188231.298500001	330539.717000002	131082.464500002	190269.693000002	477963.420999998	177512.748500001	134439.779999997	426466.5575	421374.540000003	389998.204000003	194346.371499999	186383.102999999	500907.997499999	182688.045000001	472332.772499999	383129.457500002	0	467527.926499997	507793.943500002	373305.405499999	494355.474499999	124214.003000003	568631.558000001	488541.454499998	457682.060499999	300700.713499998	268592.479000001	190289.4355	196218.081000002	119759.596500001
187	0	1094997.3205	0	0	53497.1940000014	2858.34600000005	30699.4790000002	959205.409499998	651317.237500001	40849.3739999994	327171.001000001	26510.3045	3209.49999999995	3657.95200000008	0	347772.059999999	1414996.3885	34049.0630000001	250349.514000001	42765.4234999999	0	141775.601999997	0	0	78177.4775000005	22881.5150000001	14075.1280000001	888049.545499998	7910.53250000011	0	24361.9015000001	267018.499500002	1206896.05	228603.614999997	932009.1895	0	579145.629499998	0	102538.526999997	2224.65649999993
188	650857.329500002	0	74905.0725000048	1042727.8645	272058.656000001	947853.074000002	80643.6630000038	0	223207.837000002	403415.284000002	247736.543	123861.245999999	0	176662.482999999	203902.343000001	537064.229000002	409968.286000003	71169.8749999998	457572.809999998	840209.016500002	1054405.856	455749.251000001	86058.726999997	613620.861	333588.940999999	142720.017999998	84088.9080000008	933896.603999996	137425.100000002	988233.798500001	1004087.5375	173302.050000001	1178235.2905	128631.030499997	353345.988000002	167441.078000002	543921.5155	122845.892999999	510571.048999996	629523.116
189	72690.4649999996	435471.073999999	133330.730000004	923815.108000001	237189.9765	87336.6849999982	69246.0975000032	165242.5115	172803.095000001	220385.575000001	261373.5425	143007.892000002	143275.683999998	128906.902999999	176270.026999999	85027.4340000012	93931.5230000017	67195.1199999998	366529.148	0	237689.372500001	208101.805500001	146760.284499999	360756.648999999	199363.606499998	129124.201999997	71848.6740000008	322007.426	414020.448999999	138273.084000002	142864.007999999	262886.662	147734.544999998	135387.808500001	217701.875	69914.782500002	181990.657000004	208711.190999999	97975.9109999976	263685.952500001
190	626212.447000001	323647.098999999	0	397894.580499998	0	7660.5705	52664.8489999998	0	1993357.2145	46763.9020000001	326523.229999997	21870.6714999998	1154.53099999997	1584.42949999998	1397680.833	552761.799499999	677789.633000001	28738.8495000001	0	5746.51750000003	1869497.381	0	1957502.8735	768882.390999999	0	28942.5154999996	4674.10000000008	212737.829999999	2157.97300000002	1598753.1975	3563.20600000003	0	0	0	110557.440499998	371880.941999999	0	17189.934	0	1083.67350000001
191	366.688	8548.69750000002	20556.7329999999	22756.145	76850.6534999996	32483.052	188.255	320.852	80659.2955000002	0	118000.0675	30644.5780000001	643.593999999998	570.996500000004	88697.0715000002	45829.5159999999	134183.6795	1140.6405	382.122000000003	178.978000000001	12958.7865	116400.392	119829.5385	87183.2910000001	28477.6970000001	0	0	121282.557	0	209.856	227.0565	25594.087	6991.99	179.740000000001	69688.5885	1355.40299999999	118555.308	318510.232	312.667	126584.5025
192	399703.589499997	0	297439.471000005	100612.741500001	83455.048	224250.686000001	654652.9015	288913.007499999	363426.926500002	180734.458000002	0	126117.885999999	0	383885.059000002	90672.9870000003	81434.0329999994	94343.7755000008	96043.6084999967	127697.537999999	319055.306500003	129273.843499998	309032.8275	102217.216500005	0	0	287083.277999995	302327.693999997	0	132076.801000001	200383.702499998	1753409.295	79769.1975000023	152750.424999998	223858.802000001	0	196159.475500004	0	128114.577	125730.0075	181565.453
