row ID	s47_repeat_BB5_01_51298.mzXML Peak area	s52_BC9_01_51216.mzXML Peak area	s60_BE12_01_51130.mzXML Peak area	s67b_BB6_01_51043.mzXML Peak area	s72_BD4_01_51091.mzXML Peak area	s77_BB8_01_51188.mzXML Peak area	s82_BD10_01_51103.mzXML Peak area	s86_BB11_01_51054.mzXML Peak area	s7_BB6_01_51183.mzXML Peak area	s102_BB8_01_51048.mzXML Peak area	s90_BA10_01_51027.mzXML Peak area	s94_BA4_01_51015.mzXML Peak area	s12_BC6_01_51209.mzXML Peak area	s17_BA6_01_51019.mzXML Peak area	s112_repeat_BB9_01_51300.mzXML Peak area	s22_BC4_01_51065.mzXML Peak area	s27_BE5_01_51263.mzXML Peak area	s32_BB9_01_51050.mzXML Peak area	s37_BA5_01_51017.mzXML Peak area	s42_BB3_01_51037.mzXML Peak area
333	0	0	3536.35299999994	0	451906.861999998	12123.6485000001	155428.291499999	0	0	23045.077	17701.3399999999	241884.658500001	76429.0445000002	24231.8265000011	0	0	0	156607.0145	2895.025	15316.9
334	79873.2104999998	48376.0659999999	60115.2575	39920.523	152216.396	158579.384	202228.066	16269.3325	49273.149	0	30110.6395	48582.8625	133624.7525	71037.5134999998	0	18756.263	132096.4595	240314.0955	46101.525	204976.0205
335	47616.828	21372.672	35031.9625	33810.7725	42605.5610000001	32380.059	43257.8639999999	3843.08300000001	35338.393	24713.0075	35573.066	27844.6560000001	29547.1965000001	41122.8335	38908.6315000001	17829.589	43438.8979999999	40714.7259999999	39538.345	31831.174
336	22699.2234999999	9314.4435	16329.0595000001	15162.6465	20927.5695000001	17589.8060000001	21007.1115	1494.51200000001	16854.2525	12520.464	16345.7625	10464.5915	13343.0705	15830.6985000001	21484.746	8156.22350000002	22593.0165	18810.4385	21136.499	17567.6265
337	0	56748.8390000004	0	24348.3414999999	0	1193.18099999999	5377.54499999985	27564.2035000001	81892.35	17225.4114999996	53260.6190000003	0	52536.8780000002	62981.2545	18956.9219999999	32497.6324999997	0	24788.1299999997	22202.3905000002	33940.97
338	10465.4424999999	14310.828	103541.749	50588.1100000003	14776.0644999999	189945.8645	17329.0934999999	30950.2414999999	6170.81049999994	66664.6225000008	70202.8750000004	0	11225.1685	21637.5150000005	26005.9595000001	18020.4389999999	7831.54050000012	44680.7934999997	61886.1159999987	0
339	7092.56699999994	12051.6419999999	419.200000000001	13829.3245	7056.92000000007	12928.5680000001	10058.3750000001	15614.405	29917.3210000002	17003.1505	63151.0044999998	580.247499999984	6675.29049999996	7465.40400000028	16107.0065	11459.3239999998	842.602500000005	16461.364	12143.266	50962.718
340	0	0	1202.853	7634.27249999998	3588.52999999998	2633.84000000001	8474.21100000002	0	5103.67999999996	2931.76950000001	10259.4135	0	2442.40400000002	6029.46000000005	0	6926.70950000002	1501.64599999999	13592.142	22489.9479999999	9654.91199999986
341	7320.71299999993	68623.194	987.964499999998	8943.61800000006	14519.6890000001	8682.21400000016	5935.80099999987	14092.6845	8442.06150000018	11367.1805000001	38387.3079999999	732.479999999988	14483.4730000001	7601.68200000005	10631.5185	14006.2135	842.602500000005	10092.2695000001	16864.9945000001	21100.8574999998
342	24296.142	17397.8189999999	224.474500000005	21334.6824999999	9126.2474999999	4553.19300000002	22628.9965	16122.742	46714.6815	44815.4950000002	27071.8104999999	471.023999999997	6645.47350000015	21820.8969999997	15637.5584999999	70067.6754999998	679.787999999997	12177.9670000002	28117.7830000001	38793.0785
344	1131243.8135	88819.1595000017	82715.488500001	77000.5049999995	418878.8595	134462.676	335406.528999998	166713.862000001	127346.717999999	0	343575.606000001	0	89535.1170000021	0	137436.945499998	369441.377500002	136643.716500001	101809.055999999	356807.337499998	0
345	4405.3125	282164.3085	45958.5605	281727.8545	53490.9995	21386.486	130900.8125	48493.754	31751.503	43225.89	83532.252	48891.778	9346.87550000001	40404.8575	4509.813	25731.727	163514.982	70987.804	102928.151	43710.4595
346	60817.5974999999	13468.6855	35915.004	10207.454	57626.1820000001	67186.1715	47865.3034999999	30059.833	19277.5299999999	0	15364.661	8451.7455	42901.8560000002	4481.63850000001	0	15239.0665	97122.2019999998	41492.229	14490.946	27000.2625
347	97660.6454999987	118655.9945	119803.6935	21405.3840000004	118232.06	161658.247000001	82973.3495000014	20744.8825000007	145140.355999998	199322.9335	201073.6025	21066.3374999995	227302.650499999	145922.672500001	220294.796000001	63027.1804999997	85306.2380000016	40944.0089999996	79492.7244999997	463427.222000001
350	14143.9880000001	11004.7189999999	19945.5614999999	19489.1279999999	13093.1204999999	25909.2074999998	35496.3300000001	34914.305	19141.6829999998	7578.94950000003	27458.7055000002	21872.7054999999	21388.7975000001	42566.9544999997	12728.7699999999	23054.7245000001	65721.5175	8058.51200000002	36149.7729999999	20410.477
352	35953.3075	17270.789	22833.0125	20447.8785	69178.9200000001	46154.0865	67101.5319999998	1658.517	23822.59	0	12284.411	11089.8665	22320.5175	22277.816	0	4872.524	65413.1319999999	88145.0175000001	27012.311	64964.4244999999
354	0	7001.65349999995	928.462499999971	68549.1909999996	1597.04999999997	32327.4159999999	159108.324	20800.666	77604.6580000004	3183.24000000006	48865.5849999999	102664.2975	10613.4210000002	4857.39500000002	465623.185000001	7848.73300000001	233574.443	4996.02600000001	31857.0799999999	745.289999999985
356	164644.103	0	239218.917500001	124934.312	166423.623	177867.289500001	137789.015	0	0	23024.984	218627.7455	0	158644.946	0	0	0	0	0	917162.477499996	0
357	196.440000000002	491.807500000002	1787.057	49120.931	6802.06399999999	294.299999999998	4936.355	4668.75499999999	29107.926	204.437500000002	45186.2985000001	143998.976	635.625999999997	43539.8095000001	225.492000000001	2628.52399999999	184.9245	11640.007	211967.9575	34268.7935
358	16995.838	619.164000000002	28060.5520000001	7809.51599999993	18554.694	23458.8025000002	7647.54399999998	1412.82799999999	0	1387.19199999999	26450.53	544.815499999998	23839.4155	1096.9095	460.928999999999	462.139000000004	663.200999999996	355.446000000001	123521.253999999	805.030000000002
360	1134.87999999999	1736.28000000008	1471.94999999994	29664.0430000004	0	2229281.107	18829.2655000001	17354.1729999999	7926.743	622498.203500003	8862.85399999985	2967.88099999997	31461.25	5572.7645	49206.3804999995	1143.4285	104933.6555	4592.13750000002	2202838.6625	0
361	23237.4385	15075.2390000004	16302.8755	0	14997.1855000001	22666.6505000001	63208.7475000001	15161.4270000001	76014.885	16980.0799999998	20908.5589999997	5867.39149999994	2882.75700000007	1988.50649999996	58580.3555000006	17953.7109999998	22730.5659999998	21092.0124999999	0	274945.1575
362	9403.06199999999	5538.38100000001	2849.55899999993	84474.8674999997	1419.83999999998	0	39667.1184999993	95625.9334999999	84711.3049999995	0	37376.8740000005	0	49853.3524999999	10922.1489999999	59773.8775000001	2240.55349999996	529835.240999998	8446.01299999998	0	912.330000000015
364	34397.4075000002	28826.0664999999	0	60371.8409999996	5518.16750000011	4168.83550000008	27018.3704999998	18618.7274999999	19312.2685000001	44139.1764999999	21869.9989999994	0	29586.4975	61311.5560000002	8395.22499999997	14378.7734999998	924.340000000004	33548.3049999999	9667.56099999981	73138.5925000005
