row ID	s2_BE6_01_51119.mzXML Peak area	s97_BG2_01_51481.mzXML Peak area	s98_BG3_01_51483.mzXML Peak area	s46_BE11_01_51127.mzXML Peak area	s45_BA7_01_51160.mzXML Peak area	s50_BG5_01_51487.mzXML Peak area	s51_BD5_01_51093.mzXML Peak area	s59_BE8_01_51271.mzXML Peak area	s58_BD10_01_51248.mzXML Peak area	s66_BC11_01_51220.mzXML Peak area	s71_BC3_01_51063.mzXML Peak area	s70_BC2_01_51061.mzXML Peak area	s75_BE11_01_51277.mzXML Peak area	s76_BA12_01_51031.mzXML Peak area	s80_BC12_01_51222.mzXML Peak area	s81_BB3_01_51177.mzXML Peak area	s85_BB10_01_51052.mzXML Peak area	s5_BC6_01_51069.mzXML Peak area	s6_BD3_01_51232.mzXML Peak area	s100_rerun_BA6_01_51158.mzXML Peak area	s101_BA9_01_51025.mzXML Peak area	s88_BD7_01_51242.mzXML Peak area	s89_BD11_01_51250.mzXML Peak area	s93_BE3_01_51259.mzXML Peak area	s10_BE10_01_51275.mzXML Peak area	s11_BA10_01_51166.mzXML Peak area	s15_BA3_01_51149.mzXML Peak area	s16_BD2_01_51227.mzXML Peak area	s110_rerun_BB12_01_51140.mzXML Peak area	s111_BC11_01_51081.mzXML Peak area	s20_BD8_01_51244.mzXML Peak area	s21_BA9_01_51164.mzXML Peak area	s26_BC9_01_51076.mzXML Peak area	s25_BE7_01_51121.mzXML Peak area	s30_BB2_01_51174.mzXML Peak area	s31_BC2_01_51201.mzXML Peak area	s35_BA7_01_51021.mzXML Peak area	s36_BD4_01_51234.mzXML Peak area	s41_BD7_01_51097.mzXML Peak area	s40_BE8_01_51123.mzXML Peak area
124	38589.890999999	26797.439999999	27354.768000001	75341.2190000003	93484.6494999989	26310.0959999991	50837.1434999991	25231.5699999996	37845.0500000005	36860.1345	72963.2439999999	53516.3640000006	24627.8464999992	73815.1625000003	36620.6805000008	129655.7035	36233.0030000002	94736.8364999995	77220.533	57903.0699999997	58392.3520000009	99672.2214999989	77509.8779999993	42053.1000000012	24670.4085000009	58489.1310000005	54921.0634999998	96911.8939999998	53932.0484999999	70896.0209999998	58521.7695000012	58504.6779999994	62250.6289999993	55848.5759999995	53025.6459999995	137529.88	91978.9225000003	57500.2354999998	70925.0490000007	78055.6420000004
125	54967.8084999998	11546.6209999999	5099.04649999991	113511.315	128456.943	8747.39549999996	124159.8115	4413.38800000002	124732.6095	60029.6004999999	55368.005	39477.4460000001	4562.82849999996	175463.9685	50141.3504999997	118411.7715	128867.6435	65603.3699999997	57209.1239999995	139320.936	55548.239	58128.3214999992	130624.588	68657.5544999999	9629.95900000011	134328.7995	130863.0405	62199.5729999998	128835.194	129654.8125	135702.072	61763.8565000007	59271.131	52213.9129999992	105757.709	50174.3100000003	131114.994	138612.648	136233.9945	49877.0160000006
126	40078.394	62751.0069999993	30909.0799999997	79843.2145000004	58443.9090000002	31703.327999999	21410.2079999993	57752.1064999996	58727.6220000002	55063.1084999997	120747.944	243009.854	28951.163500001	114688.5325	59679.6235	99263.2385000011	36255.4799999997	252997.578	63356.5964999993	58060.1489999992	36356.1849999998	62730.6849999999	56798.0529999998	130259.485000001	299860.152999999	140810.788	55422.1995000004	37765.2624999997	57248.4745000001	37534.0035000003	57834.4070000003	41893.582500001	40858.6909999995	102628.4145	38858.2159999991	58102.0410000007	82379.1039999997	205854.9295	56259.1670000003	58270.9375000004
129	57599.2625000001	0	58527.0305	111464.0075	58680.9795	53979.0075	40203.9525	19941.3305	121828.951	89955.078	85723.8270000001	42496.1219999999	30840.5804999999	72003.618	33331.9074999999	68661.6395	60642.8944999998	18064.428	100234.5765	67190.081	50894.7954999999	85705.134	110127.6215	62787.6735000001	32316.1105	47338.6694999999	55569.603	71433.0595000001	22074.0764999999	29611.657	76695.9790000001	85982.9785	91622.478	225.561	46457.7475	39730.6495000003	90167.1430000001	100435.293	36750.1325000001	69033.2744999999
130	28762.6090000001	182.503999999999	57206.3145	66422.1135	29608.2355	40540.6684999999	56713.0270000002	72870.1230000001	62712.4060000001	39080.6155	99231.6705000001	57827.6760000001	24031.3495	131301.5495	17644.662	40264.1450000001	35114.9595000001	9220.32499999998	54911.699	39533.5589999999	33218.4494999999	38453.9515	55488.5990000001	30387.665	34418.8575	65340.6790000001	31688.5085000001	57231.1824999999	12957.367	15347.499	35280.0274999999	52379.6745	13153.043	0	21151.677	50971.03	21222.3125	57919.354	59788.6850000001	43681.027
132	35880.867500001	53390.4500000011	52878.8379999994	51752.8379999994	72542.716	52201.9110000006	92692.7170000006	24675.0240000009	72982.6335000005	55890.9414999998	56955.3304999999	33367.8860000002	25092.2705000002	35097.7295000003	33497.1229999991	34231.4009999991	49835.1949999991	58268.4284999995	37615.8744999992	51967.3915000005	60673.1614999996	36036.728	36423.5565000003	38160.6675000011	49908.6844999996	33598.2465	54829.98	54910.0965000005	69269.4055000004	71643.3105000004	53825.9725000005	50173.0580000002	40094.6209999988	33849.0519999999	32578.8669999994	89113.9940000002	37865.318	74461.1659999997	54834.4704999997	114345.2455
133	15074.3809999994	142242.861999999	24511.1249999999	15402.0840000001	33596.6079999995	48746.2424999999	119570.4875	68653.1205000004	160726.6515	32908.4929999998	67607.9300000005	49227.4040000002	69345.7544999996	102547.431000001	35237.9185000003	67854.4005000004	32253.8029999993	37137.3899999998	17500.4360000006	54128.7599999992	85596.8340000006	17515.98	105007.67	37136.610000001	23308.7400000005	70066.9280000001	32368.3465000001	15857.455	47769.5420000005	52401.332500001	51457.7480000003	33419.8785000002	98186.7335000004	52554.1019999996	15323.5939999997	47517.5415000001	106361.8365	86029.4174999999	33039.8699999995	33665.0510000004
134	301203.389	14276.2514999997	5704.19500000016	192185.674999999	319242.143999999	2460.47649999999	51440.7304999996	66017.4980000001	972623.415000002	162207.992500001	196660.341999999	52306.4464999991	15186.4455000001	2896377.267	243811.741500002	259919.6115	4875.47199999996	113431.948000001	1709173.484	276317.827	177595.85	217651.801000001	366277.383	400364.922999999	39456.5475000005	590876.728499995	183882.773499999	164106.651500001	1124089.072	316607.275999998	544915.032999997	466562.9075	36522.3685000003	55298.7235000005	180953.537499999	311296.3415	126178.010499999	448731.847000001	261035.114499996	104362.391
135	18272.5350000009	158926.668499999	233650.885499999	240878.74	102102.3385	89801.1510000004	133155.046	168271.649000001	139156.604999999	98114.6199999983	152117.1125	111706.2905	83823.3634999987	82268.0944999998	149343.721000001	50824.7349999992	65003.8319999997	126667.519	153035.493499999	118083.9585	17576.9380000002	85346.5545000003	86181.6689999995	144387.845	98778.5754999993	17907.6559999996	98499.5614999994	18056.1100000006	17435.6870000006	205873.289499999	67173.3445000004	168685.128500002	90503.594500001	188058.602	49014.1525000002	98151.4710000003	136514.496000001	19146.0240000001	191535.0875	118237.127
137	165611.717000001	789960.142999998	325893.739000001	83986.3915000004	79537.2265000003	246062.720499999	48800.7554999999	88697.1709999994	97567.9044999994	51562.5835000001	42344.9115000005	38280.8930000004	40253.841	399052.326000004	73806.7134999997	130209.452	19748.3074999997	23721.7269999999	58100.3244999995	39084.052	43770.2555000001	47565.6890000001	73876.3884999998	13449.4539999999	158170.3535	120581.5795	15217.1174999998	49179.8289999996	94896.3834999997	39312.6509999997	250246.1765	208761.804	81491.0899999999	97672.9664999995	144661.8205	93711.4440000012	82516.8749999994	149351.394000001	188576.281	93713.7170000005
138	0	0	0	0	219.492000000001	234.519999999999	0	0	0	0	195.160000000001	0	0	0	473.860000000002	223.108000000001	18456.2915	169.126000000001	0	84007.9255	45395.7505000001	0	200.982000000001	0	0	0	0	0	189443.0095	43587.2880000001	219.224000000001	0	0	0	0	0	0	0	296.009999999999	200.859
140	51957.8739999993	2075.70600000002	137314.3725	111761.823	333910.530500001	7276.98550000002	68305.9199999998	36245.6355	261036.466499999	36752.8914999996	53217.1730000002	3181.99200000004	288534.3835	15109.525	40062.1684999998	1438.7185	159973.841	49107.2444999995	50527.2710000001	258951.876	76992.6939999998	2663.79299999999	122047.595499999	115343.7275	187544.378	95268.2609999985	3327.84200000002	3249.84300000001	59485.3574999998	43360.9819999998	69700.9514999996	78444.8049999998	88005.9855000005	202209.743	9435.29600000007	2617.20600000003	148017.44	294031.2385	48844.7044999997	32718.0804999997
141	31239.0945000007	2075.70600000002	50819.770000001	201968.405500001	305800.186499998	3394.65499999988	64597.0564999998	51033.1109999992	563202.916000001	23953.5674999999	40969.2530000002	1252.79300000003	275232.091	15109.525	36595.2880000002	1438.7185	158851.514000001	60237.4310000002	45123.7664999996	60658.5474999999	55833.7355000004	2623.32600000004	161552.485	294398.1655	212384.4195	239354.953000001	3327.84200000002	2564.15550000004	116364.772500001	19648.8239999998	58414.5424999992	103004.775000001	78323.2774999998	196720.180999999	11795.709	1115.53999999996	77384.6939999992	436061.112500001	14044.4089999994	52842.0230000003
144	26342.8900000001	63690.0934999999	55739.4779999991	34339.0325000001	66680.6409999997	63960.7554999996	13722.3389999998	6663.38399999991	23887.4955000001	13395.2875	16237.323	123562.883000001	13132.543	139157.800500001	19658.6355	28614.1425000001	80962.5094999997	5643.83600000005	37308.0834999999	58822.0335000002	35816.5629999997	25136.0265000001	22325.3045000001	33573.2270000003	18307.561	37645.8849999996	23354.1840000001	14611.4085	50491.5104999998	18780.0455000001	48553.7515000002	53370.4819999999	131965.937500001	17576.4835	40516.6459999999	15593.929	35894.5674999997	32387.9759999999	24420.7485	20504.4355000001
147	0	931.501999999983	235617.338500002	0	0	3932.76899999996	0	0	0	0	151502.609999999	0	0	9393.18700000017	0	1096.78999999999	0	0	194479.035499999	92304.9935000004	18959.1365000001	1567.84700000002	0	0	0	0	1241.84000000004	1141.57900000003	11274.0065000002	63265.9805	71760.3679999997	0	129306.169500001	0	1534.3375	1352.575	0	0	25661.0064999997	0
