row ID	s1_BD6_01_51095.mzXML Peak area	s47_repeat_BB5_01_51298.mzXML Peak area	s44_BC5_01_51067.mzXML Peak area	s49_repeat_BB12_01_51305.mzXML Peak area	s52_BC9_01_51216.mzXML Peak area	s60_BE12_01_51130.mzXML Peak area	s57_BA12_01_51170.mzXML Peak area	s67b_BB6_01_51043.mzXML Peak area	s69_repeat_RD11_01_51500.mzXML Peak area	s72_BD4_01_51091.mzXML Peak area	s77_BB8_01_51188.mzXML Peak area	s74_repeat_BD12_01_51287.mzXML Peak area	s79_BE2_01_51111.mzXML Peak area	s82_BD10_01_51103.mzXML Peak area	s84_BB7_01_51046.mzXML Peak area	s86_BB11_01_51054.mzXML Peak area	s4_BD9_01_51101.mzXML Peak area	s7_BB6_01_51183.mzXML Peak area	s99_BB2_01_51035.mzXML Peak area	s102_BB8_01_51048.mzXML Peak area	s87_BG6_01_51489.mzXML Peak area	s90_BA10_01_51027.mzXML Peak area	s92_BE3_01_51113.mzXML Peak area	s94_BA4_01_51015.mzXML Peak area	s9_BB5_01_51041.mzXML Peak area	s12_BC6_01_51209.mzXML Peak area	s14_BB4_01_51039.mzXML Peak area	s17_BA6_01_51019.mzXML Peak area	s109_repeat_BC8_01_51291.mzXML Peak area	s112_repeat_BB9_01_51300.mzXML Peak area	s19_rerun_BC10_01_51138.mzXML Peak area	s22_BC4_01_51065.mzXML Peak area	s24_BD2_01_51087.mzXML Peak area	s27_BE5_01_51263.mzXML Peak area	s32_BB9_01_51050.mzXML Peak area	s29_BB4_01_51179.mzXML Peak area	s34_BA8_01_51023.mzXML Peak area	s37_BA5_01_51017.mzXML Peak area	s39_BD9_01_51246.mzXML Peak area	s42_BB3_01_51037.mzXML Peak area
25	25617.4590000001	33705.2799999997	19492.7909999998	20481.96	76893.0729999999	17662.276	333908.638499999	25680.2675000001	29557.5804999999	25091.6480000003	15296.1135000001	16302.902	21002.1540000001	24114.222	16691.309	16823.0789999999	47424.2489999997	38837.3949999999	40579.1330000002	22555.7969999997	429235.387499998	46762.8254999999	39637.797	33419.2760000002	30385.4820000001	20775.3689999999	30048.0809999998	38416.7974999998	21881.2954999997	29485.2349999999	21261.666	20081.7165000001	27461.1780000002	47459.9119999995	23462.1940000002	31370.1100000002	24696.6684999996	53359.4840000002	63229.8010000006	31930.3389999998
26	926981.946500001	5173392.89999999	598414.061499999	1241265.2575	3821928.08000001	3340.36950000007	3396322.355	5130719.869	4782173.44999999	640000.679499999	799157.7425	646129.5125	57399.8910000002	3152497.8985	6022.23350000003	674514.949000001	3546883.92899999	3233477.198	1225.73850000002	1445503.9885	44646.5934999996	1944578.1785	389458.275999999	39890.0340000003	2776971.7205	1954991.814	4177093.71400001	3459102.6885	2166398.9465	2368639.4335	2438963.0375	3084726.9155	4881.48300000005	263451.906	1221708.487	1324563.3655	2021304.358	1485014.3395	2608454.904	2376626.685
27	0	0	0	0	0	0	237.147499999999	185.659	418.3115	0	0	0	7581.03099999999	5122.51050000002	83996.94	0	933.999	527.620500000001	0	220748.3485	0	188.0825	0	0	0	0	0	0	112607.5505	820297.215499999	0	0	0	0	0	0	0	378.492000000001	0	0
28	20064.2160000002	5068.84599999995	24366.0909999996	455149.088999998	14903.1340000002	5362.46450000012	172016.9735	30969.3839999999	19744.6864999999	1290.28650000001	829544.976000006	11814.7020000001	110654.364000001	0	612341.067500003	43844.6039999997	40861.2264999997	110389.5435	6845.95999999999	467644.982999995	101633.104500001	35378.5005000003	57317.7940000009	37397.3064999999	33581.9819999997	20647.5750000002	2245.60599999997	19574.182	25635.6795000003	238866.3195	11742.5699999999	2482.06250000004	32499.1725000002	85488.9159999993	12176.5545	3149.95950000003	73825.2554999998	1202359.36050001	9845.58849999998	2228.652
29	29323.3240000002	23574.2259999998	77288.7935000008	0	10256.3499999999	11951.321	340365.193999999	114995.243	42683.7424999999	2433.6620000001	439086.143999994	19289.9960000003	71705.0914999991	201586.374	886756.608999999	10961.37	37350.7679999994	112084.7225	2961.27800000004	563943.066500003	47970.6149999996	138637.624000001	124896.3645	27775.964	16199.5799999999	19107.8624999996	3294.96499999997	12481.3905000002	14147.2064999999	145769.5685	117953.286	2078.81149999998	49981.1459999999	125279.134	11725.8319999999	5250.0115	248161.9095	309760.637999999	2351.17250000001	6337.10849999997
30	580470.629499999	149151.5235	586489.923500002	154961.676000001	536247.918499999	560354.446500002	503682.413499999	514926.446000001	161138.5835	577250.578500002	554771.6135	145766.3335	544730.023499999	590209.537	456971.418500001	553684.037	585186.917999998	541601.5205	575534.822500001	517781.6965	161559.7935	508585.799000001	615220.9915	585551.541499998	561073.121	536359.659499999	575936.787999999	595652.7215	146375.6405	131158.2535	536723.923	578020.532500001	584769.984999999	568443.796499997	571120.775000001	547092.025	596167.138000001	603381.244000001	540336.101499999	571836.404000001
31	335931.176499999	319837.590500001	360388.414999999	351815.024999999	308266.042	483350.985000002	970712.422000001	866125.724500002	347085.963999999	374244.0045	318604.768500002	400105.626000002	349324.141499998	344853.282499998	315096.170499999	370021.387000001	336838.271999997	346237.007999998	310050.435999999	340726.681499999	551337.171	345449.064000001	346461.145	323875.048000002	345162.907999998	378097.165999998	2108182.73700001	377843.559	317894.039500002	748919.137499993	312474.943999999	355359.3635	359577.003500001	437975.962000001	346464.946499998	310951.460000003	343338.3445	2854245.64749998	372649.737000002	305531.9635
32	227153.685	0	112833.317	0	77276.137	254249.6795	1121308.6965	204034.779	303173.5105	240094.54	263297.382	0	215236.4945	271956.179	9029.986	0	173238.781	199616.2535	308146.85	142076.275	938465.478	167350.964	205432.56	253777.8805	250628.107	57591.1035	312408.5335	452677.497	0	0	129933.4455	131588.689	358397.067	4150.389	238975.0915	219525.4845	285996.3185	378922.9705	420103.81	494658.3725
33	44176.1844999998	9691.77599999985	39786.1335000003	1737410.2485	17291.2209999999	8162.90849999991	223464.040000001	164156.0775	42616.6250000001	1800.41999999991	411473.222000001	20258.4409999997	46999.1479999998	42621.0435000003	116591.619000001	104033.0595	19811.9494999999	41164.6694999999	4920.28649999991	85725.968000002	75540.8545000005	58188.5635000007	28542.0019999997	8430.30899999981	70364.2139999992	39855.7664999994	1857.66750000003	6680.27749999998	14147.2064999999	57791.0205000004	66160.8665000001	3767.87949999996	27819.9710000001	488613.1995	7075.48199999994	6865.82000000003	144382.5325	132856.5835	2848.48350000006	5120.04199999991
34	337629.458500001	50144.7829999997	334470.297500001	55655.9274999999	336185.140500001	351983.567999998	399303.282	341650.1985	60429.1589999999	360790.427000002	364398.250000001	62097.5759999999	380139.8905	370756.286500001	307626.133500001	322315.016999998	361039.334500001	346288.238499999	364266.086	315575.2715	65185.8364999999	346846.465499998	395834.934500001	341650.635000001	348040.525999999	354203.199	345252.397500003	374177.918999998	54045.7289999998	59043.3085	318833.082499999	338303.747	366104.096500002	382538.571500002	320158.0835	320408.239	363151.456	381984.374	349990.426000001	354025.258499999
