CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
93	469	2	0.8819	-58.042
74	682	2	0.9068	-0.000
483	677	2	0.8906	-0.000
288	409	2	0.9524	-0.000
469	774	2	0.8814	-56.026
189	344	2	0.9534	0.000
288	410	2	0.9157	-0.000
422	577	2	0.8912	-56.026
471	758	2	0.8812	58.041
132	482	2	0.9049	-0.001
133	677	2	0.8874	-0.001
668	674	3	0.7831	-13.980
674	713	3	0.7823	0.000
100	458	3	0.8329	-0.000
458	668	3	0.8024	13.980
574	668	3	0.7665	13.980
579	674	3	0.7734	100.085
140	331	4	0.9747	-2.014
185	616	4	0.9771	110.146
185	723	4	0.9767	26.016
185	362	4	0.9765	-26.015
193	331	4	1.0	0.001
554	755	4	0.9783	-28.031
190	546	4	0.9682	24.000
29	505	4	0.976	28.032
362	406	4	0.9769	-23.999
33	190	4	0.9715	-24.000
541	616	4	0.9815	110.145
541	755	4	0.9772	-26.016
185	554	4	0.9808	2.016
217	406	4	0.9769	-23.999
506	541	4	0.981	-2.016
216	697	4	0.9784	-0.001
55	360	4	1.0	-0.000
185	505	4	0.985	2.017
29	501	4	0.9794	28.031
505	554	4	0.9779	-0.000
216	217	4	0.9741	-0.000
505	555	4	0.9779	-0.001
506	554	4	0.9796	-0.001
29	406	4	0.9758	-23.999
217	331	4	0.9789	-23.999
29	555	4	0.9755	28.031
501	554	4	0.977	0.001
29	193	4	0.9781	-24.000
362	697	4	0.9784	-0.001
501	555	4	0.977	0.000
29	554	4	0.9755	28.031
33	505	4	0.976	28.032
29	697	4	0.9819	-0.001
28	217	4	0.9784	-0.000
506	555	4	0.9796	-0.001
216	506	4	0.9745	28.032
185	501	4	0.9839	2.016
57	360	4	1.0	-0.000
554	723	4	0.9766	24.000
216	501	4	0.978	28.031
541	554	4	0.9787	2.016
193	697	4	0.9779	23.999
501	616	4	0.9785	108.130
28	362	4	0.9784	-0.000
185	217	4	0.9765	-26.015
541	555	4	0.9787	2.015
28	755	4	0.9775	0.000
185	755	4	0.9787	-26.015
193	406	4	0.9786	0.001
360	546	4	0.9669	1.003
55	546	4	0.9669	1.003
216	541	4	0.9778	26.016
120	167	4	0.987	-28.031
505	755	4	0.9771	-28.032
616	723	4	0.972	-84.130
505	541	4	0.9796	-2.016
555	755	4	0.9783	-28.031
193	755	4	0.977	24.000
697	755	4	0.9776	0.001
501	697	4	0.9854	-28.032
167	616	4	0.9757	-126.068
193	217	4	0.9789	24.000
185	541	4	0.9869	0.001
57	546	4	0.9669	1.003
28	331	4	0.9802	-23.999
29	506	4	0.9796	28.032
28	406	4	0.9755	-23.999
555	723	4	0.9766	24.000
140	193	4	0.9747	-2.015
