CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
717	728	38	0.9492	15.995
112	503	38	0.9293	28.031
486	728	38	0.9356	-10.021
486	545	38	1.0	0.000
243	760	38	0.9502	-83.025
545	728	38	0.9356	-10.021
108	110	38	1.0	0.000
485	717	38	0.934	25.069
243	717	38	0.9487	-57.008
545	717	38	0.9335	-26.015
187	721	38	0.9258	0.001
112	721	38	0.932	-0.000
106	220	38	0.9251	-28.030
108	113	38	0.9493	0.000
246	582	38	0.9194	-2.012
108	728	38	0.9388	15.995
225	246	38	0.9166	2.014
717	760	38	0.9531	-26.017
110	113	38	0.9493	0.000
110	728	38	0.9388	15.995
112	582	38	0.9257	-28.028
106	721	38	0.9377	-0.000
225	283	38	0.9319	56.060
106	275	38	0.9275	-0.002
486	717	38	0.9335	-26.015
225	503	38	0.9251	56.061
112	187	38	0.9275	-0.002
81	243	38	0.9581	28.978
108	222	38	0.9453	-28.030
110	222	38	0.9453	-28.030
113	721	38	0.9478	-0.001
15	174	39	0.691	-15.995
182	612	41	0.851	14.015
182	611	41	0.8393	14.015
30	84	42	0.716	-28.031
30	480	42	0.6995	-1.746
580	759	47	0.8093	0.000
467	580	47	0.7848	-130.062
467	759	47	0.7685	-130.062
459	461	49	0.7605	-58.042
456	459	49	1.0	-0.000
456	461	49	0.7605	-58.042
14	117	50	0.7998	-0.000
117	692	50	0.7565	-0.001
14	692	50	0.8105	-0.001
547	698	51	1.0	-0.001
224	490	53	0.7587	-0.000
490	586	53	0.7199	0.000
224	586	53	0.737	-0.000
124	481	54	0.8443	-0.000
210	477	54	0.8408	-0.001
124	210	54	0.8135	0.000
63	183	56	0.6576	21.006
66	251	57	0.9171	0.000
66	134	57	0.8564	0.000
134	251	57	0.867	0.000
745	746	58	0.8542	-14.014
141	248	59	1.0	-0.000
438	766	61	1.0	-0.000
45	358	63	0.8566	0.000
45	180	63	0.8259	-17.026
180	358	63	0.8751	17.027
350	389	66	1.0	0.000
34	80	68	0.7838	-59.038
80	111	68	0.7338	-64.043
333	520	71	0.9488	26.020
781	784	74	0.7068	28.031
784	787	74	0.683	-44.025
780	781	74	0.6574	44.027
780	782	74	0.6836	-28.031
280	285	75	1.0	0.000
381	524	76	0.692	-32.026
42	561	77	0.8221	-0.000
42	663	77	0.8442	-0.000
54	561	77	0.9264	-0.000
48	561	77	0.8936	-0.000
54	768	77	0.9149	0.000
42	768	77	0.8613	-0.000
42	54	77	0.8405	-0.000
42	403	77	0.8156	-0.000
54	663	77	0.9219	-0.000
48	403	77	0.9017	-0.000
48	663	77	0.8849	-0.000
663	768	77	0.8905	0.000
48	54	77	0.8877	-0.000
42	48	77	0.8013	0.000
403	663	77	0.904	-0.000
403	561	77	0.8336	-0.000
54	403	77	0.8771	0.000
561	768	77	0.8955	0.000
403	768	77	0.8809	0.000
48	768	77	0.9369	-0.000
561	663	77	0.8792	0.000
207	278	78	0.8827	-0.001
207	213	78	0.8827	-0.001
213	278	78	1.0	0.000
204	509	79	1.0	0.000
457	776	85	1.0	0.000
718	719	87	0.7413	0.001
388	621	88	0.7417	2.016
282	583	89	0.9385	25.071
603	609	94	0.9865	32.025
645	659	99	0.7049	-0.001
184	230	107	0.8761	-31.990
521	690	112	0.9651	-2.017
521	548	112	0.9659	-2.016
92	201	115	1.0	0.000
11	13	116	0.8445	0.001
