CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ	id	max_chemdir	max_comparison	sign_chemdir	CLUSTERID1_chemdir	CLUSTERID2_chemdir
54	663	77	0.9219	-0.000	132	0.03434143804592599	Pre-P:Post-P	1.0	663	54
54	768	77	0.9149	0.000	133	0.06987919967436335	Pre-P:Post-P	1.0	768	54
55	360	4	1.0	-0.000	134	0.6841942747276968	Pre-P:Post-P	1.0	360	55
55	546	4	0.9669	1.003	135	0.21751749636727233	Pre-P:Post-P	1.0	546	55
55	57	4	1.0	-0.000	136	0.1396377427234176	Pre-P:Post-P	1.0	57	55
57	360	4	1.0	-0.000	137	0.544556532004279	Pre-P:Post-P	1.0	360	57
57	546	4	0.9669	1.003	138	0.0778797536438546	Pre-P:Post-P	1.0	546	57
58	276	27	0.7602	0.000	139	0.008227986011511904	Pre-P:Post-P	-1.0	58	276
58	430	27	0.7925	0.000	140	0.39172744052631503	Pre-P:Post-P	-1.0	58	430
58	566	27	0.7232	-0.000	141	0.13495509534179628	Pre-P:Post-P	-1.0	58	566
58	667	27	0.7654	-0.000	142	0.2501963200914576	Pre-P:Post-P	-1.0	58	667
58	669	27	0.8235	-0.000	143	0.21705903235392598	Pre-P:Post-P	-1.0	58	669
58	68	27	0.8088	0.000	144	0.004558471410264674	Pre-P:Post-P	1.0	68	58
58	739	27	0.8111	-0.000	145	0.16622072772347	Pre-P:Post-P	-1.0	58	739
59	265	22	0.8589	0.000	146	0.2198457974754902	Pre-P:Post-P	1.0	265	59
59	407	22	0.8752	-0.000	147	0.034907853760803506	Pre-P:Post-P	1.0	407	59
59	408	22	0.8597	0.000	148	0.06734287292998635	Pre-P:Post-P	1.0	408	59
59	556	22	0.887	2.015	149	1.9528144392372422	Pre-P:Post-P	1.0	556	59
59	558	22	0.9054	2.015	150	0.005979727195781557	Pre-P:Post-P	-1.0	59	558
59	664	22	0.8752	-0.000	151	0.054475643835649235	Pre-P:Post-P	1.0	664	59
60	427	19	0.8598	0.000	152	0.020129730832496546	Pre-P:Post-P	-1.0	60	427
60	428	19	0.8506	0.000	153	0.2947111433897851	Pre-P:Post-P	-1.0	60	428
60	431	19	0.869	-0.000	154	0.10558934127429441	Pre-P:Post-P	-1.0	60	431
60	433	19	0.8604	-15.995	155	0.16613967501878477	Pre-P:Post-P	-1.0	60	433
60	565	19	0.8495	-0.000	156	0.008904754823967444	Pre-P:Post-P	1.0	565	60
60	595	19	0.8244	-15.995	157	0.05405264387520454	Pre-P:Post-P	-1.0	60	595
60	64	19	0.8244	-15.995	158	0.16075111355875893	Pre-P:Post-P	1.0	64	60
60	69	19	0.8663	-0.000	159	0.15211314692995573	Pre-P:Post-P	-1.0	60	69
60	702	19	0.8323	-0.000	160	0.2712814863518718	Pre-P:Post-P	-1.0	60	702
60	726	19	0.8495	-0.000	161	0.23598161648843274	Pre-P:Post-P	-1.0	60	726
60	775	19	0.888	-0.000	162	0.22380608262018745	Pre-P:Post-P	-1.0	60	775
62	188	14	0.8577	0.000	163	0.05025054060295832	Pre-P:Post-P	1.0	188	62
62	254	14	0.8822	0.000	164	0.17389849451594203	Pre-P:Post-P	1.0	254	62
62	398	14	0.863	0.000	165	0.004937137841116236	Pre-P:Post-P	1.0	398	62
62	399	14	0.9184	0.000	166	0.17088857020355452	Pre-P:Post-P	1.0	399	62
62	400	14	0.8797	-0.000	167	0.38802927757667205	Pre-P:Post-P	1.0	400	62
62	401	14	0.929	-0.000	168	0.07619502609740018	Pre-P:Post-P	1.0	401	62
62	679	14	0.8915	-0.000	169	0.1728120419319875	Pre-P:Post-P	1.0	679	62
62	699	14	0.9184	0.000	170	0.3919316289740773	Pre-P:Post-P	1.0	699	62
62	777	14	0.9075	0.000	171	0.18444705733527555	Pre-P:Post-P	1.0	777	62
63	183	56	0.6576	21.006	172	0.5966235951679144	Pre-P:Post-P	1.0	183	63
64	432	19	0.8342	-0.000	173	0.21594148747048225	Pre-P:Post-P	-1.0	64	432
64	433	19	0.8045	-0.000	174	0.3268907885775437	Pre-P:Post-P	-1.0	64	433
64	595	19	1.0	0.000	175	0.2148037574339635	Pre-P:Post-P	-1.0	64	595
64	773	19	0.8385	-0.000	176	0.11102393655263049	Pre-P:Post-P	-1.0	64	773
64	83	19	0.8414	0.000	177	0.354945274596667	Pre-P:Post-P	-1.0	64	83
66	134	57	0.8564	0.000	178	0.26531956970389153	Pre-P:Post-P	-1.0	66	134
66	251	57	0.9171	0.000	179	0.027230629519285655	Pre-P:Post-P	-1.0	66	251
67	101	17	0.8455	-58.042	180	0.2231506000591556	Pre-P:Post-P	-1.0	67	101
67	434	17	0.8519	-0.000	181	0.042134450614939284	Pre-P:Post-P	-1.0	67	434
67	435	17	0.9222	-0.000	182	0.3164343614384627	Pre-P:Post-P	-1.0	67	435
67	436	17	0.8293	-0.000	183	0.2790493748839522	Pre-P:Post-P	-1.0	67	436
67	437	17	0.8993	-0.000	184	0.10860034256269276	Pre-P:Post-P	-1.0	67	437
67	448	17	0.8542	-58.042	185	0.002926191015254206	Pre-P:Post-P	-1.0	67	448
67	569	17	0.8993	-0.000	186	0.04438577911745678	Pre-P:Post-P	1.0	569	67
67	684	17	0.8265	-58.042	187	0.31295458559368455	Pre-P:Post-P	-1.0	67	684
67	70	17	1.0	0.000	188	0.06666642194770514	Pre-P:Post-P	-1.0	67	70
67	75	17	0.8836	0.000	189	0.05779680165892482	Pre-P:Post-P	-1.0	67	75
68	276	27	0.761	0.000	190	0.012786457421776627	Pre-P:Post-P	-1.0	68	276
68	430	27	0.8286	0.000	191	0.39628591193657975	Pre-P:Post-P	-1.0	68	430
68	566	27	0.7685	-0.000	192	0.13951356675206106	Pre-P:Post-P	-1.0	68	566
