CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ	id	max_chemdir	max_comparison	sign_chemdir	CLUSTERID1_chemdir	CLUSTERID2_chemdir
80	111	68	0.7338	-64.043	252	0.021289249102626227	Pre-HV:Post-HV	-1.0	80	111
81	243	38	0.9581	28.978	253	0.017954231166040616	Pre-HV:Post-HV	1.0	243	81
83	427	19	0.8077	15.995	254	0.495936587070884	Pre-HV:Post-HV	-1.0	83	427
83	429	19	0.8041	-0.000	255	0.07357965390690185	Pre-HV:Post-HV	-1.0	83	429
83	432	19	0.8704	-0.000	256	0.16620111204731564	Pre-HV:Post-HV	-1.0	83	432
83	433	19	0.8248	-0.000	257	0.11229974804294701	Pre-HV:Post-HV	1.0	433	83
83	595	19	0.8414	0.000	258	0.2768132363884345	Pre-HV:Post-HV	-1.0	83	595
83	773	19	0.8576	-0.000	259	0.15159003671954716	Pre-HV:Post-HV	-1.0	83	773
86	443	17	0.8229	-0.000	260	0.0318307167867133	Pre-HV:Post-HV	-1.0	86	443
87	198	2	0.9024	-0.000	261	0.15999157845151557	Pre-HV:Post-HV	1.0	198	87
87	267	2	0.8964	-0.000	262	0.26002545872190735	Pre-HV:Post-HV	1.0	267	87
87	404	2	0.8898	74.036	263	0.05169297011831309	Pre-HV:Post-HV	1.0	404	87
87	411	2	0.9147	58.041	264	0.16062896611801294	Pre-HV:Post-HV	-1.0	87	411
87	422	2	0.9191	-0.000	265	0.08617443415422758	Pre-HV:Post-HV	1.0	422	87
87	560	2	0.8898	74.036	266	0.08087631089221332	Pre-HV:Post-HV	1.0	560	87
87	764	2	0.891	-0.000	267	0.16562528234548948	Pre-HV:Post-HV	1.0	764	87
92	201	115	1.0	0.000	268	0.3042445736427811	Pre-HV:Post-HV	1.0	201	92
93	267	2	0.8784	15.995	269	0.1333373526399245	Pre-HV:Post-HV	1.0	267	93
93	446	2	0.8898	-0.001	270	0.006584973691253824	Pre-HV:Post-HV	1.0	446	93
93	469	2	0.8819	-58.042	271	0.00694601847325513	Pre-HV:Post-HV	-1.0	93	469
93	472	2	0.8819	-58.041	272	0.10536764592449872	Pre-HV:Post-HV	1.0	472	93
93	757	2	0.8796	-0.001	273	0.10335324078777201	Pre-HV:Post-HV	1.0	757	93
94	219	29	0.9272	-0.003	274	1.018275529734684	Pre-HV:Post-HV	-1.0	94	219
94	229	29	0.6727	-47.981	275	0.087472283673728	Pre-HV:Post-HV	1.0	229	94
94	250	29	0.6693	-47.981	276	0.12775992931042643	Pre-HV:Post-HV	1.0	250	94
94	522	29	0.6598	-61.999	277	0.12775992931042643	Pre-HV:Post-HV	1.0	522	94
94	526	29	0.9367	-14.013	278	0.5567654768837683	Pre-HV:Post-HV	-1.0	94	526
94	527	29	0.9435	-14.013	279	0.6601461591215287	Pre-HV:Post-HV	-1.0	94	527
94	531	29	0.9449	-14.011	280	0.12775992931042643	Pre-HV:Post-HV	1.0	531	94
94	733	29	0.8732	2.018	281	0.03815809492739172	Pre-HV:Post-HV	1.0	733	94
94	749	29	0.7699	2.015	282	0.12775992931042643	Pre-HV:Post-HV	1.0	749	94
95	103	2	0.8943	-0.000	283	0.14725178478366455	Pre-HV:Post-HV	-1.0	95	103
95	118	2	0.8921	-0.000	284	0.5032089623121507	Pre-HV:Post-HV	-1.0	95	118
95	268	2	0.8782	-0.000	285	0.1177996956041779	Pre-HV:Post-HV	-1.0	95	268
95	463	2	0.8892	-0.000	286	0.05811147597323221	Pre-HV:Post-HV	-1.0	95	463
95	466	2	0.9084	-0.001	287	0.15728979689583525	Pre-HV:Post-HV	-1.0	95	466
95	577	2	0.8812	-0.000	288	0.009476312678707915	Pre-HV:Post-HV	-1.0	95	577
97	256	2	0.8963	0.000	289	0.17607740189421137	Pre-HV:Post-HV	1.0	256	97
97	673	2	0.8874	-0.001	290	0.062215825434195716	Pre-HV:Post-HV	1.0	673	97
97	703	2	0.8787	-0.000	291	0.1611411819900439	Pre-HV:Post-HV	1.0	703	97
100	458	3	0.8329	-0.000	292	0.13755258637650386	Pre-HV:Post-HV	-1.0	100	458
101	448	17	0.8857	-0.000	293	0.031312796431717624	Pre-HV:Post-HV	-1.0	101	448
101	575	17	0.8445	-0.000	294	0.19928500449503989	Pre-HV:Post-HV	-1.0	101	575
101	684	17	0.8583	-0.000	295	0.2335251404021275	Pre-HV:Post-HV	-1.0	101	684
101	707	17	0.8501	-0.000	296	0.2665629239641663	Pre-HV:Post-HV	-1.0	101	707
103	267	2	0.8826	56.026	297	0.14085355594887713	Pre-HV:Post-HV	1.0	267	103
103	347	2	0.8955	-0.000	298	0.35117438216150926	Pre-HV:Post-HV	-1.0	103	347
103	420	2	0.9188	56.026	299	0.0628695727461991	Pre-HV:Post-HV	-1.0	103	420
103	463	2	0.8803	-0.000	300	0.08914030881043232	Pre-HV:Post-HV	1.0	463	103
103	682	2	0.9188	56.026	301	0.15249376798001196	Pre-HV:Post-HV	-1.0	103	682
103	772	2	0.9188	56.026	302	0.13067476636230002	Pre-HV:Post-HV	1.0	772	103
105	439	35	0.8814	-0.000	303	0.2658376913335702	Pre-HV:Post-HV	-1.0	105	439
105	440	35	0.9038	-0.001	304	0.02119313128760439	Pre-HV:Post-HV	-1.0	105	440
105	567	35	0.9038	-0.000	305	0.005878169112160624	Pre-HV:Post-HV	-1.0	105	567
